account,app_name,period,total_spend,avg_daily_spend,moloco_installs,non_moloco_installs,soi_pct
Learnings,--- TOTAL ---,1_Benchmark,176173.81,25167.69,103478,10888905,0.94
Learnings,--- TOTAL ---,2_Jan,1210105.15,39035.65,554959,51649161,1.06
Learnings,--- TOTAL ---,3_Feb,2237230.67,79901.1,600105,69769279,0.85
Learnings,--- TOTAL ---,4_Mar_MTD,1198581.51,92198.58,264535,35486514,0.74
Learnings,Bible Coloring Paint By Number,1_Benchmark,858.8,122.69,220,14548,1.49
Learnings,Bible Coloring Paint by Number,1_Benchmark,841.21,168.24,62,5281,1.16
Learnings,Color Aura: Paint by Number,1_Benchmark,4199.38,599.91,840,50792,1.63
Learnings,Color Aura: Paint by Number,2_Jan,31774.19,1024.97,5550,200391,2.69
Learnings,Color Aura: Paint by Number,3_Feb,21968.02,784.57,2995,101303,2.87
Learnings,Color Aura: Paint by Number,4_Mar_MTD,2244.03,172.62,323,20687,1.54
Learnings,Jigsawcard Solitaire Puzzle,2_Jan,10192.06,536.42,9121,470926,1.9
Learnings,Jigsawcard Solitaire Puzzle,3_Feb,28479.28,1017.12,6862,593132,1.14
Learnings,Jigsawcard Solitaire Puzzle,4_Mar_MTD,12882.14,990.93,2867,254447,1.11
Learnings,Jigsawscapes® - Jigsaw Puzzles,1_Benchmark,5733.99,819.14,2726,587242,0.46
Learnings,Jigsawscapes® - Jigsaw Puzzles,2_Jan,36693.17,1183.65,18147,2542397,0.71
Learnings,Jigsawscapes® - Jigsaw Puzzles,3_Feb,21718.29,775.65,11372,1884757,0.6
Learnings,Jigsawscapes® - Jigsaw Puzzles,4_Mar_MTD,9757.07,750.54,3682,1363746,0.27
Learnings,Match Busters 3D Matching Game,1_Benchmark,351.89,50.27,56,22009,0.25
Learnings,Match Busters 3D Matching Game,2_Jan,1554.45,50.14,329,100241,0.33
Learnings,Match Busters 3D Matching Game,3_Feb,1398.76,49.96,200,77079,0.26
Learnings,Match Busters 3D Matching Game,4_Mar_MTD,641.5,49.35,102,31911,0.32
Learnings,Mystery Town - Merge & Cases,1_Benchmark,21806.51,3115.22,992,93132,1.05
Learnings,Mystery Town - Merge & Cases,2_Jan,107176.79,3457.32,8081,477642,1.66
Learnings,Mystery Town - Merge & Cases,3_Feb,421007.74,15035.99,24557,248769,8.98
Learnings,Mystery Town - Merge & Cases,4_Mar_MTD,166129.49,12779.19,8783,103270,7.84
Learnings,Paint by Number Coloring Game,1_Benchmark,9328.38,1332.63,6845,124272,5.22
Learnings,Paint by Number Coloring Game,2_Jan,50853.86,1640.45,24959,433004,5.45
Learnings,Paint by Number Coloring Game,3_Feb,18044.25,644.44,11025,353810,3.02
