account,benchmark_drr,march_drr,spend_change,spend_chg_pct,benchmark_soi,march_soi,soi_chg_pp,meets_criteria
CENTURY_GAMES,492114.08,676309.18,184195.1,37.4,9.79,11.45,1.66,YES
Luckymoney,36530.94,98017.59,61486.65,168.3,6.42,11.62,5.2,YES
AVIAGAMES,9914.71,18841.73,8927.02,90.0,2.15,4.78,2.63,YES
37GAMES,2158.77,6788.0,4629.22,214.4,3.47,3.73,0.26,YES
BITOOL,586718.06,379839.22,-206878.84,-35.3,3.45,2.64,-0.81,NO
TIKTOK_US,79827.29,100673.38,20846.09,26.1,0.25,0.11,-0.14,NO
MICROFUN,61269.27,97993.72,36724.44,59.9,6.78,5.54,-1.25,NO
KINGSGROUP,103514.77,96590.59,-6924.19,-6.7,11.98,8.89,-3.09,NO
Learnings,25167.69,92018.94,66851.25,265.6,0.94,0.73,-0.21,NO
EssentialsTech,92260.11,84033.01,-8227.11,-8.9,15.75,7.04,-8.71,NO
LASTWAR,69607.67,45908.5,-23699.17,-34.0,2.98,8.89,5.91,NO
ZerooGravity,11100.2,27613.73,16513.54,148.8,5.84,4.89,-0.96,NO
MICO,36348.29,26861.75,-9486.54,-26.1,3.41,2.64,-0.77,NO
TOPGAMES,21444.12,21241.03,-203.09,-0.9,13.68,22.71,9.03,NO
LEMON8,29683.49,14389.97,-15293.53,-51.5,0.89,0.67,-0.22,NO
SPEELEAD,12514.49,12172.96,-341.52,-2.7,7.9,5.72,-2.18,NO
BYTEDANCEPTE,12671.95,10578.69,-2093.26,-16.5,0.2,0.11,-0.09,NO
NetEase,15050.03,6433.6,-8616.42,-57.3,1.28,0.43,-0.85,NO
RIVERGAME_HK,31673.83,4996.03,-26677.8,-84.2,5.8,4.18,-1.62,NO
Mattel163_China,840.26,4335.2,3494.94,415.9,2.45,0.53,-1.93,NO
ALIBABASINGAPOREECOMMERCE,606.31,0.0,-606.31,,0.08,0.0,-0.08,NO
