account,benchmark_drr,march_drr,spend_change,spend_chg_pct,benchmark_soi,march_soi,soi_chg_pp,meets_criteria
CENTURY_GAMES,492114.08,673311.46,181197.38,36.8,9.79,11.27,1.48,YES
Luckymoney,36530.94,97487.25,60956.31,166.9,6.42,11.98,5.56,YES
TOPGAMES,21444.12,21499.69,55.57,0.3,13.68,24.42,10.74,YES
AVIAGAMES,9914.71,18509.94,8595.22,86.7,2.15,4.69,2.54,YES
37GAMES,2158.77,6699.74,4540.97,210.3,3.47,3.68,0.21,YES
BITOOL,586718.06,388242.15,-198475.91,-33.8,3.45,2.8,-0.65,NO
TIKTOK_US,79827.29,99443.7,19616.41,24.6,0.25,0.11,-0.14,NO
MICROFUN,61269.27,98154.28,36885.01,60.2,6.78,5.8,-0.98,NO
KINGSGROUP,103514.77,96337.58,-7177.2,-6.9,11.98,8.96,-3.02,NO
Learnings,25167.69,92198.58,67030.89,266.3,0.94,0.74,-0.2,NO
EssentialsTech,92260.11,83744.49,-8515.63,-9.2,15.75,7.35,-8.39,NO
LASTWAR,69607.67,47096.23,-22511.43,-32.3,2.98,8.74,5.76,NO
MICO,36348.29,27209.04,-9139.25,-25.1,3.41,2.6,-0.81,NO
ZerooGravity,11100.2,26923.13,15822.93,142.5,5.84,4.77,-1.07,NO
LEMON8,29683.49,13834.58,-15848.92,-53.4,0.89,0.61,-0.28,NO
SPEELEAD,12514.49,12227.83,-286.65,-2.3,7.9,5.72,-2.19,NO
BYTEDANCEPTE,12671.95,10549.03,-2122.92,-16.8,0.2,0.11,-0.08,NO
NetEase,15050.03,6484.35,-8565.67,-56.9,1.28,0.42,-0.86,NO
RIVERGAME_HK,31673.83,5036.68,-26637.15,-84.1,5.8,4.8,-1.0,NO
Mattel163_China,840.26,4242.07,3401.81,404.9,2.45,0.53,-1.93,NO
ALIBABASINGAPOREECOMMERCE,606.31,0.0,-606.31,,0.08,0.0,-0.08,NO
