account	app_name	period	total_spend	avg_daily_spend	moloco_installs	non_moloco_installs	soi_pct
37GAMES	--- TOTAL ---	1_Benchmark	15111.41	2158.77	1897	52787	3.47
37GAMES	--- TOTAL ---	2_Jan	145819.22	4703.85	13248	1165840	1.12
37GAMES	--- TOTAL ---	3_Feb	160649.84	5737.49	11458	395006	2.82
37GAMES	--- TOTAL ---	4_Mar_MTD	87096.61	6699.74	6401	167633	3.68
37GAMES	MU: Dark Epoch	3_Feb	120082.26	4288.65	6852	225842	2.94
37GAMES	MU: Dark Epoch	4_Mar_MTD	66571.4	5120.88	3960	100288	3.8
37GAMES	Puzzles & Chaos: Frozen Castle	1_Benchmark	15111.41	2158.77	1897	52787	3.47
37GAMES	Puzzles & Chaos: Frozen Castle	2_Jan	48851.29	1575.85	6270	726655	0.86
37GAMES	Puzzles & Chaos: Frozen Castle	3_Feb	40567.58	1448.84	4606	166003	2.7
37GAMES	Puzzles & Chaos: Frozen Castle	4_Mar_MTD	18566.26	1428.17	2400	62700	3.69
37GAMES	RO仙境傳説：世界之旅	2_Jan	96967.93	3878.72	6978	439185	1.56
37GAMES	RO仙境傳説：世界之旅	4_Mar_MTD	1958.95	150.69	41	4645	0.87
AVIAGAMES	--- TOTAL ---	1_Benchmark	69402.99	9914.71	3917	178145	2.15
AVIAGAMES	--- TOTAL ---	2_Jan	546935.34	17643.08	34126	1257485	2.64
AVIAGAMES	--- TOTAL ---	3_Feb	474978.68	16963.52	27047	842512	3.11
AVIAGAMES	--- TOTAL ---	4_Mar_MTD	240629.16	18509.94	13823	280638	4.69
AVIAGAMES	8 Ball Strike: Win Real Cash	1_Benchmark	5744.06	820.58	704	27099	2.53
AVIAGAMES	8 Ball Strike: Win Real Cash	2_Jan	18599.11	599.97	2929	129137	2.22
AVIAGAMES	8 Ball Strike: Win Real Cash	3_Feb	14330.87	530.77	1343	89887	1.47
AVIAGAMES	Bingo Clash: Win Real Cash	4_Mar_MTD	6193.01	1238.6	682	10648	6.02
AVIAGAMES	Bingo Tour: Win Real Cash	2_Jan	29132.13	939.75	3114	150691	2.02
AVIAGAMES	Bingo Tour: Win Real Cash	3_Feb	37314.55	1332.66	3378	119633	2.75
AVIAGAMES	Bingo Tour: Win Real Cash	4_Mar_MTD	8516.01	655.08	906	49329	1.8
AVIAGAMES	Bubble Buzz: Win Real Cash	2_Jan	6707.94	335.4	687	52938	1.28
AVIAGAMES	Pocket7Games: Win Cash	2_Jan	30673.68	1095.49	3980	76061	4.97
AVIAGAMES	Pocket7Games: Win Cash	3_Feb	38824.9	1386.6	4592	69873	6.17
AVIAGAMES	Pocket7Games: Win Cash	4_Mar_MTD	40781.58	3137.04	3956	34439	10.3
AVIAGAMES	Solitaire Clash: Win Real Cash	1_Benchmark	42543.22	6077.6	1814	84367	2.1
AVIAGAMES	Solitaire Clash: Win Real Cash	2_Jan	362772.05	11702.32	17361	557245	3.02
AVIAGAMES	Solitaire Clash: Win Real Cash	3_Feb	334878.73	11959.95	15370	412634	3.59
AVIAGAMES	Solitaire Clash: Win Real Cash	4_Mar_MTD	185138.56	14241.43	8279	186222	4.26
AVIAGAMES	co.aviagames.mtp.billiards.samsung	1_Benchmark	5823.85	831.98	672	15610	4.13
AVIAGAMES	co.aviagames.mtp.billiards.samsung	2_Jan	13159.8	506.15	1611	52242	2.99
AVIAGAMES	co.aviagames.mtp.solitaire.samsung	1_Benchmark	15291.86	2184.55	727	37825	1.89
AVIAGAMES	co.aviagames.mtp.solitaire.samsung	2_Jan	85890.64	2770.67	4444	210448	2.07
AVIAGAMES	co.aviagames.mtp.solitaire.samsung	3_Feb	49629.63	1838.13	2364	146833	1.58
CENTURY_GAMES	--- TOTAL ---	1_Benchmark	3444798.58	492114.08	420440	3875767	9.79
CENTURY_GAMES	--- TOTAL ---	2_Jan	1.921689468E7	619899.83	1918335	16514912	10.41
CENTURY_GAMES	--- TOTAL ---	3_Feb	1.854622201E7	662365.07	1578422	13898316	10.2
CENTURY_GAMES	--- TOTAL ---	4_Mar_MTD	8753048.97	673311.46	721132	5677592	11.27
CENTURY_GAMES	Bingo Aloha-Bingo Live at home	1_Benchmark	4767.5	681.07	866	9714	8.19
CENTURY_GAMES	Bingo Aloha-Bingo Live at home	2_Jan	29665.12	956.94	4519	46590	8.84
CENTURY_GAMES	Bingo Aloha-Bingo Live at home	3_Feb	46884.25	1674.44	5815	39547	12.82
CENTURY_GAMES	Bingo Aloha-Bingo Live at home	4_Mar_MTD	14361.21	1104.71	1373	15885	7.96
CENTURY_GAMES	Bingo Aloha-Vegas Bingo Games	2_Jan	8046.42	402.32	769	14282	5.11
CENTURY_GAMES	Bingo Aloha-Vegas Bingo Games	3_Feb	31169.62	1113.2	1225	15749	7.22
CENTURY_GAMES	Bingo Aloha-Vegas Bingo Games	4_Mar_MTD	10627.67	817.51	488	6312	7.18
CENTURY_GAMES	Family Farm Adventure	1_Benchmark	7062.82	1008.97	2315	39811	5.5
CENTURY_GAMES	Family Farm Adventure	2_Jan	31241.7	1007.8	9682	156171	5.84
CENTURY_GAMES	Family Farm Adventure	3_Feb	28542.89	1019.39	8576	167817	4.86
CENTURY_GAMES	Family Farm Adventure	4_Mar_MTD	37935.19	2918.09	8312	126814	6.15
CENTURY_GAMES	Family Farm Match	1_Benchmark	4301.63	614.52	462	13173	3.39
CENTURY_GAMES	Family Farm Match	2_Jan	42719.21	1378.04	2293	49492	4.43
CENTURY_GAMES	Family Farm Match	3_Feb	56275.93	2009.85	2022	28339	6.66
CENTURY_GAMES	Family Farm Match	4_Mar_MTD	6137.66	472.13	227	11489	1.94
CENTURY_GAMES	Hotel Manor: Merge Game	4_Mar_MTD	23677.24	1973.1	15787	11138	58.63
CENTURY_GAMES	Kingshot	1_Benchmark	1337321.81	191045.97	195965	1467472	11.78
CENTURY_GAMES	Kingshot	2_Jan	6585360.74	212430.99	648684	5463368	10.61
CENTURY_GAMES	Kingshot	3_Feb	6578350.99	234941.11	512958	5588469	8.41
CENTURY_GAMES	Kingshot	4_Mar_MTD	3428708.58	263746.81	288843	2289232	11.2
CENTURY_GAMES	Tasty Travels: Merge Game	1_Benchmark	938015.29	134002.18	113246	572710	16.51
CENTURY_GAMES	Tasty Travels: Merge Game	2_Jan	7162919.56	231061.92	817054	3199304	20.34
CENTURY_GAMES	Tasty Travels: Merge Game	3_Feb	7608732.91	271740.46	611879	2606776	19.01
CENTURY_GAMES	Tasty Travels: Merge Game	4_Mar_MTD	3454630.99	265740.85	195639	967446	16.82
CENTURY_GAMES	Truck Star	1_Benchmark	17848.91	2549.84	5634	230066	2.39
CENTURY_GAMES	Truck Star	2_Jan	247079.56	7970.31	49831	1774956	2.73
CENTURY_GAMES	Truck Star	3_Feb	322651.26	11523.26	35032	1072652	3.16
CENTURY_GAMES	Truck Star	4_Mar_MTD	91554.56	7042.66	11261	466726	2.36
CENTURY_GAMES	Whiteout Survival	1_Benchmark	1135480.61	162211.52	101952	1542821	6.2
CENTURY_GAMES	Whiteout Survival	2_Jan	5109862.36	164834.27	385503	5810717	6.22
CENTURY_GAMES	Whiteout Survival	3_Feb	3431460.03	122552.14	275804	3779427	6.8
CENTURY_GAMES	Whiteout Survival	4_Mar_MTD	1410331.23	108487.02	129262	1482535	8.02
CENTURY_GAMES	com.fatr.global	4_Mar_MTD	22912.59	1909.38	33706	12164	73.48
CENTURY_GAMES	com.gof.globalru	3_Feb	442154.12	16376.08	125111	597875	17.3
CENTURY_GAMES	com.gof.globalru	4_Mar_MTD	252172.06	19397.85	36234	287851	11.18
Luckymoney	--- TOTAL ---	1_Benchmark	255716.55	36530.94	6480	94412	6.42
Luckymoney	--- TOTAL ---	2_Jan	1245866.68	40189.25	31093	476174	6.13
Luckymoney	--- TOTAL ---	3_Feb	1488669.79	53166.78	35793	441366	7.5
Luckymoney	--- TOTAL ---	4_Mar_MTD	1267334.26	97487.25	28610	210199	11.98
Luckymoney	6746437378	1_Benchmark	27911.49	3987.36	1194	3055	28.1
Luckymoney	6746437378	2_Jan	132925.84	4287.93	6945	28496	19.6
Luckymoney	6746437378	3_Feb	259563.03	9270.11	9009	50352	15.18
Luckymoney	6746437378	4_Mar_MTD	606004.48	46615.73	16585	50126	24.86
Luckymoney	Lavish Luck Casino	1_Benchmark	163809.52	23401.36	1809	74140	2.38
Luckymoney	Lavish Luck Casino	2_Jan	843916.75	27223.12	8756	378556	2.26
Luckymoney	Lavish Luck Casino	3_Feb	1078326.26	38511.65	9355	316246	2.87
