account,app_name,period,total_spend,avg_daily_spend,moloco_installs,non_moloco_installs,soi_pct
BITOOL,--- TOTAL ---,1_Benchmark,4107026.42,586718.06,145068,3627511,3.85
BITOOL,--- TOTAL ---,2_Jan,12331972.9,397805.58,3094113,90667900,3.39
BITOOL,--- TOTAL ---,3_Feb,10992393.79,392585.49,2393408,88413937,2.75
BITOOL,--- TOTAL ---,4_Mar_MTD,5047147.95,388242.15,1189879,41284815,2.85
BITOOL,(unnamed),3_Feb,7037.41,281.5,35972,5483440,0.65
BITOOL,(unnamed),4_Mar_MTD,8119.82,624.6,10558,1918645,0.55
BITOOL,Block Blast!,1_Benchmark,691765.83,98823.69,348770,21417660,1.6
BITOOL,Block Blast!,2_Jan,2376487.7,76660.89,1273482,74127250,1.69
BITOOL,Block Blast!,3_Feb,1809568.47,64627.45,865886,68328725,1.25
BITOOL,Block Blast!,4_Mar_MTD,966826.89,74371.3,541615,33107963,1.61
BITOOL,Block Blast! VN,3_Feb,9919.35,396.77,24752,1609658,1.51
BITOOL,Block Blast! VN,4_Mar_MTD,24547.19,1888.25,23974,807715,2.88
BITOOL,Block Blast！,1_Benchmark,3410885.16,487269.31,615964,5582700,9.94
BITOOL,Block Blast！,2_Jan,9913259.04,319782.55,1809674,15910416,10.21
BITOOL,Block Blast！,3_Feb,8811508.15,314696.72,1370882,11967327,10.28
BITOOL,Block Blast！,4_Mar_MTD,3728300.07,286792.31,546845,5128799,9.63
BITOOL,Solitaire Master!,1_Benchmark,398.72,56.96,262,16583,1.56
BITOOL,Solitaire Master!,2_Jan,6661.29,214.88,3134,70043,4.28
BITOOL,Solitaire Master!,3_Feb,10004.25,357.29,3689,77339,4.55
BITOOL,Solitaire Master!,4_Mar_MTD,4883.53,375.66,1455,22805,6.0
BITOOL,Solitaire Master！,1_Benchmark,3976.71,568.1,1923,12217,13.6
BITOOL,Solitaire Master！,2_Jan,8219.35,456.63,2608,27107,8.78
